Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Points,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
Xuân Đông,VNM,203,241,125,87,False,False,True,True,Grandmaster
Winter,VN3,295,440,106,78,False,False,True,False,Grandmaster
SKT PHAN T1,6789,455,251,228,215,False,False,True,False,Grandmaster
waka waka ế ề ê,2212,72,283,159,126,False,False,True,False,Grandmaster
Sangad,5933,361,280,123,86,False,False,True,True,Grandmaster
giangngu77,VN2,17,361,128,102,False,False,True,False,Grandmaster
Lhbdwp,6505,44,391,144,106,False,False,True,False,Grandmaster
Ares,GENG,39,258,129,99,False,False,True,False,Grandmaster
Sumi hong có ngu,0912,884,443,130,90,False,False,True,True,Grandmaster
donlee,1602,181,432,230,196,False,False,True,False,Grandmaster
Tainangtre,2656,101,339,108,90,False,False,True,False,Grandmaster
Tuấn Nè,4514,192,412,176,149,False,False,True,True,Grandmaster
Lapp,Texas,602,267,124,104,False,False,False,False,Grandmaster
Ăn Chặn,VN2,317,280,150,135,False,False,True,True,Grandmaster
HònDeep,hòn,2,507,174,144,False,False,True,False,Grandmaster
KayuH,2308,560,344,150,133,False,False,True,False,Grandmaster
mr đần,8888,28,337,139,112,False,False,True,False,Grandmaster
đaky,2502,126,244,220,200,False,False,True,False,Grandmaster
duc12t2lvt,8596,7,233,102,80,False,False,True,True,Grandmaster
xinblu hoặc búcu,VN2,165,441,213,179,False,False,True,False,Grandmaster
Hạ cái tôi xuống,403,285,248,168,163,False,False,True,True,Grandmaster
Hnad,1701,1,253,135,119,False,False,True,True,Grandmaster
tulamduoc,5823,246,504,83,55,False,False,True,False,Grandmaster
tranminhman02,VN2,745,233,99,61,False,False,True,False,Grandmaster
Minjeongiee,0101,122,251,113,98,False,False,True,True,Grandmaster
sudangcap,dogz,19,327,110,77,False,False,True,False,Grandmaster
COM Chaos,2807,61,509,182,157,False,False,True,True,Grandmaster
Walrus,9915,124,314,92,68,False,False,True,False,Grandmaster
Minh Hiếu Lê,2011,329,252,190,176,False,False,True,False,Grandmaster
