Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Id,Summoner Name,Summoner Points,Summoner Rank,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
Top God,8666,538,64QFkCheSegIrGLvK6QeutpiQMJoYOJ_dLCebTj-II0c6bva2MnRRq-UkA,T1 4CKTG,236,I,184,139,False,False,True,False,Grandmaster
Tí Hớt Tiu,2080,264,3zVFjCSFkFtPGSmdIUd4X3mp01IEOnNVBBRBFC9lnhJgR7j6Kq4bnTZEuQ,Tí Rex,305,I,72,49,False,False,True,False,Grandmaster
Cửu Ngủ Gật,0209,968,OBq1z5as9RebuhoIUMcbcWyrJXMNTVLBOu5P6a6HOZDwPxswnydPiuMt6A,Cửu Ngủ Gật,264,I,74,51,False,False,True,False,Grandmaster
Tun,1102,609,aidb14c3bXiKfOwdKinZVqVlVyAZap7PcumwLexrI0l9AiM1bN_t-iHChQ,SaKerr68HT,471,I,176,145,False,False,True,False,Grandmaster
lamqkdo,9217,443,2JWoBaCnXseMhyqX16vZJs2pL3ehfegLd6SVQFYXXg8lwa1OTarY1BvQyg,1 vụt 1 thằng,255,I,185,146,False,False,True,False,Grandmaster
kakaOT,0128,398,CjW6mvlWkDw0JVg1NxftwR2O69aSh5brIJjTzzcCiZXRa8S48f6xmqB8Pw,KaKaOTm,293,I,151,119,False,False,True,False,Grandmaster
Bae Suzy,18012,744,Jbq54OP-NaLQjbN721-lGVis2caLyu6k1SwAgiHtkacrGz1ijIg34a4iRA,DK 03,293,I,157,124,False,False,True,True,Grandmaster
henhpropd,9262,85,ItqPf3YRq6BIs1WCvY8vbWVQaNpthfk__esYLS1_6YY0pzxixq6jf4tudA,War3 Củ Lạc,444,I,108,80,False,False,True,False,Grandmaster
Ben ZeRo,5745,1,zcuSUzjMKUmZW0p3zcNs3_GzKSJjTKMXYholUVu2UYti8ukB-abJ1_CyxA,provip1111,478,I,162,81,False,False,True,False,Grandmaster
Love and Hate,girls,122,F2uqJk7NXqBC9EBSo1DZ92Ly6tb7SMlFKhI6q5oRrrGawS_rtoZmo924Rw,Listen to Love,503,I,117,93,False,False,True,True,Grandmaster
popdragonquest,2805,95,PEHf8zTofiQsKiLe1brLY_Ql25K6blVvu5_DxM_kPvRC8C5WBHdIWqdGyw,popdragonquest,378,I,77,50,False,False,True,False,Grandmaster
Flex 4 Tiền,1031,291,ZEqKID-WdvgpV3ke4nu-B_BiXHLEqRDPCpiD3L6gz7lKdNsmiVnYjt8Fww,Flex 4 tiền,243,I,101,81,False,False,True,True,Grandmaster
DoUKnowUrFather,2411,732,BUSlD8J4juntcjCMuPnj95eqdiTFQLTxld7CF-lCr6ALA40TIoDm2wNasQ,Tông chủ Vân Vận,365,I,299,256,True,False,False,False,Grandmaster
dung iu nu,1508,110,a0oxjA7OJeu7tuX5e4GmCOawpmGoAN4_eUY-XW9Ui6BxX_HZYHKuhsIoIA,thiet0033,464,I,89,53,False,False,True,True,Grandmaster
HoaItrinhBaO,VN2,612,BFHdq6Whm4PH1RDaTGq00FPfd7QvnUM6b_ngTi7m1VF63i7em1RtcIm_3w,HoaItrinhBaO,231,I,108,69,False,False,True,False,Grandmaster
chuchimbeti,VNM,208,jtyKjZsTS9rLrfPb7mlTFQzteqqGQ9HHu9j90-ZUqpUcD9HuseDMS7yMaA,ChuChimBeTi,237,I,98,70,False,False,False,False,Grandmaster
T1NK,2001,132,JJdWshugbd326vGNBE1vqfvKbtrKZ6Dq_hXL-B9grUI09Vusd4n2GHsZ8Q,ZenítSu,293,I,106,65,False,False,True,False,Grandmaster
Yoon4,2759,243,XN9zgJcqpc2jf6CtB_19Iot2MCr1kYAJVD0YaWxShoOnTzjTXVsODxPxRw,Hundred1,250,I,88,54,False,False,True,False,Grandmaster
28 09 19 91 HA,VN2,19,aJW0qpvO3QVKikRr-vl8y9F89uWMNVaN1B0lVU3Kq0eGTkX7Ev40N-AZhA,28 09 19 91 HA,231,I,124,98,False,False,False,False,Grandmaster
minhpp,0509,506,UOnoEuYI9WgoDoIi5MphtQafeLw6qfxz_0attevIGrl4HlbqIArslFOZsg,ÑßNM,413,I,166,140,False,False,True,False,Grandmaster
Bác Công,VN2,57,TBoqhJUzCciYbrGzsPpdNtr7y69gspcJepO4GC92ovAPkU6lTXEjQGzNSQ,Bác Công,453,I,173,131,False,False,True,False,Grandmaster
cún siêu nhân,5380,64,mrZfR9zqDyEiCuyyZ-CBgLbC7DrhFWgRrrnz5zWJ-zEWUkt8Q8xbEEKEJQ,Luyện Đọc Truyện,246,I,123,82,False,False,True,False,Grandmaster
bhgxgdthtd,5233,24,pgsgRVUUDb3pS2vMcCE1giPObGivskRabfeqIA_k0HvHhJqjxl7lSuFMvw,Top8 Nghĩ Game,272,I,229,207,True,False,False,False,Grandmaster
AOF Yosshino,2608,547,Wl9L33rtYy3MnfYIIN4krTui1CRscuJjkLuGqMStUVaVi_TD-m7cshNemQ,AOF Yosshino,367,I,162,131,False,False,True,False,Grandmaster
Bỏ Bạn Chạy Luôn,VN2,492,xvCzy5PbeTyVRNaYSA2_Vsro3YceeluzLy6rTb_RkDhpAv2Q02MNHh_f7A,Bỏ Bạn Chạy Luôn,244,I,184,154,False,False,True,False,Grandmaster
Im35,VN2,2,kmmVB-_6gYuduElsE2NG3D7PaG0Rj5wF1BMmbEptIdn-IIuHHVoiiqvNoQ,Im35,256,I,131,90,False,False,True,True,Grandmaster
Raion,3007,656,gny5bfinwQtGokfBGsKnh4ux0xnn8v-7N2eyaDpMT1oyFhgv3KZ6H05w9g,Hiệp Sĩ Cúte,426,I,147,114,False,False,False,True,Grandmaster
hehehe,6840,114,h_UpS_bo3Qsl9wiOt0iG0U3CzMwiNxx6hzaJgNBt636OO1W916sFH1Oo_A,loveyoutothemoon,281,I,103,79,False,False,True,False,Grandmaster
Gnuttt,Tung,147,IHD6JaqOWs6KN5rMNN3Y-F-_4nAQVN_GF6h9anlOaz3fJvJTSLwkYE2M9w,l Thanh Tùng l,251,I,127,95,False,False,True,False,Grandmaster
jk12061997123456,12345,26,yrxvSHwk4p2-gPIP_ZuPl5PNGSYqqaW1F_o9MNKVIiAkPAg2TmwhJsUI5Q,Jk Tới Chơi Bro,314,I,193,153,False,False,True,False,Grandmaster
Ronda,16127,148,Mizs04oguODfQSvxwA4cnS_AHkoiIhsA19OoaTXYQ04PIpD6Q9Gjf_spwQ,Ronda nah,261,I,117,90,False,False,True,False,Grandmaster
VoG丶Ginnn,6015,84,g16CqOJOHOZMPoOdYSYPJ6PULNkY2TSDDIl5uRyCK-RO64XyDFZaNOmQ6Q,De Gin,306,I,176,137,True,False,False,False,Grandmaster
Ba Trà Cú,2000,241,tmZsm8fm2k36KNvjzlJyokGr61d3a-6b_j6OJS4jOUuRcoT1ySkMnGsDvA,LONG HIẾU ÓC CHÓ,258,I,186,150,False,False,True,False,Grandmaster
Risina,nat11,31,OVS1D4bLW8pz-tCkckz8n97wfc05vAG7d7JYepaQCGzmdKyaZfDOm1Hq2Q,Risina,501,I,167,116,False,False,True,True,Grandmaster
Phút Đam Mê,VN2,207,ia5ajcMXo-XlezoRaotgvZQL5YvnJESIOU1_BfGRQAephHCAWK_tffrHlQ,Phút Đam Mê,325,I,142,97,False,False,True,False,Grandmaster
Anh WOLF,9676,601,TCBzlA798Sd3izEpGcAUN9FPO_2og1jFKwiSPbcVaViI6Jc8VnmxkRJaaQ,Anh WOLF,506,I,139,121,False,False,True,False,Grandmaster
Yugimuto,1999,60,qimAAA7vL_PnHbShhYoJ-2XrcLDo7mBYxmuU1alSm0mdtHpHije1MHQHgw,Timéo,304,I,161,139,False,False,True,False,Grandmaster
TL x EnTiKayyyyy,4545,274,g57BfopA-dPHyEzuuVOiyQ7oaefGX1Z-hz9lw8jpvUysHhPpuNImD7bWQA,TL x EnTiKayyyy,230,I,121,105,False,False,True,False,Grandmaster
